gene_cluster_id,focal,reference,type,genome_occurences,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,COG20_CATEGORY_ACC,COG20_CATEGORY,COG20_PATHWAY_ACC,COG20_PATHWAY,COG20_FUNCTION_ACC,COG20_FUNCTION,KEGG_BRITE_ACC,KEGG_BRITE,KEGG_Class_ACC,KEGG_Class,KEGG_Module_ACC,KEGG_Module,KOfam_ACC,KOfam,Pfam_ACC,Pfam
GC_00016765,tree,shrub,accessory,2,2.37401306851216,3.65918347285417,1.0613403831444,3.44770022036968,5.65381181473597e-4,0.0244448348089299,U,"Intracellular trafficking, secretion, and vesicular transport",,,COG4618,"ABC-type protease/lipase transport system, ATPase and permease components (ArpD) (PDB:5L22)",ko00001|ko02000|ko02044,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Transporters>>>ABC transporters, eukaryotic type>>>ABCC (CFTR/MRP) subfamily>>>ABCC-BAC subgroup|Secretion system>>>Type I secretion system>>>Multiple protein transporter",,,,,K12536,"ATP-binding cassette, subfamily C, type I secretion system permease/ATPase",PF00005.31,ABC transporter
GC_00007693,tree,shrub,accessory,14,2.23475384908963,3.53810800841085,1.04211588661598,3.39511953886434,6.85986423151096e-4,0.0276020317430912,E|H,Amino acid transport and metabolism|Coenzyme transport and metabolism,COG0028,"Isoleucine, leucine, valine biosynthesis",COG0028,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD),ko00001|ko01000,KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00430 Taurine and hypotaurine metabolism [PATH:ko00430]|Enzymes>>>2. Transferases>>>2.3  Acyltransferases>>>2.3.3  Acyl groups converted into alkyl groups on transfer>>>2.3.3.15  sulfoacetaldehyde acetyltransferase,,,,,K03852,sulfoacetaldehyde acetyltransferase [EC:2.3.3.15],PF00205.26,"Thiamine pyrophosphate enzyme, central domain"
GC_00005656,tree,shrub,accessory,21,1.45081414507961,3.52168099905691,1.04687418516084,3.36399640852339,7.68225429282651e-4,0.0291138302375922,R,General function prediction only,,,COG1801,"Sugar isomerase-related protein YecE, UPF0759/DUF72 family (YecE) (PDB:1VPQ)",,,,,,,,,PF01904.22,Protein of unknown function DUF72
GC_00007492,tree,shrub,accessory,15,2.15123745722832,3.49586836504537,1.00826419573941,3.46721462471616,5.25881812796541e-4,0.024263316116514302,,,,,,,,,,,,,,,PF11351.12,"Holin of 3TMs, for gene-transfer release"
GC_00019108,tree,shrub,accessory,4,1.42339154235236,3.48812992245714,1.08906794747623,3.20285793970928,0.00136071085701299,0.041698735596179,,,,,,,,,,,,,,,PF18144.5,Second Messenger Oligonucleotide or Dinucleotide Synthetase domain
GC_00007387,tree,shrub,accessory,16,2.08187012916153,3.42441097028106,1.02530399520018,3.33989820220341,8.38091044650887e-4,0.0303543517816276,E,Amino acid transport and metabolism,,,COG0747,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",ko00001|ko02000,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Transporters>>>ABC transporters, prokaryotic type>>>Peptide and nickel transporters>>>Dipeptide transporter",,,,,K02035,peptide/nickel transport system substrate-binding protein,PF00496.26,"Bacterial extracellular solute-binding proteins, family 5 Middle"
GC_00005045,tree,shrub,accessory,23,2.04416170442839,3.38508106408541,1.06833487841957,3.16855803593449,0.00153197159650545,0.0443017354159416,I,Lipid transport and metabolism,,,COG2030,Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8),ko00001|ko01000,KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00660 C5-Branched dibasic acid metabolism [PATH:ko00660]|Enzymes>>>4. Lyases>>>4.2  Carbon-oxygen lyases>>>4.2.1  Hydro-lyases>>>4.2.1.56  itaconyl-CoA hydratase,,,,,K18290,itaconyl-CoA hydratase [EC:4.2.1.56],PF01575.23,MaoC like domain
GC_00017747,tree,shrub,accessory,4,1.92993212525716,3.32104678936983,1.01763908172246,3.26348196430173,0.00110052188679185,0.0368015450126538,I,Lipid transport and metabolism,,,COG2246,Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose) (GtrA) (PDB:5MLZ) (PUBMED:24710389),,,,,,,,,PF04138.18,GtrA-like protein
GC_00012480,tree,shrub,accessory,6,2.81542976413355,3.30790565928757,0.99076554097962,3.33873709012616,8.41601766104601e-4,0.0303543517816276,E,Amino acid transport and metabolism,,,COG0747,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",ko00001|ko02000,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Transporters>>>ABC transporters, prokaryotic type>>>Peptide and nickel transporters>>>Dipeptide transporter",,,,,K02035,peptide/nickel transport system substrate-binding protein,PF00496.26,"Bacterial extracellular solute-binding proteins, family 5 Middle"
GC_00013289,tree,shrub,accessory,5,2.82335720376865,3.29698407091035,0.993437750268569,3.31876262002227,9.0417256279155e-4,0.0321119653550611,S,Function unknown,,,COG2259,"Uncharacterized membrane protein YphA, DoxX/SURF4 family (DoxX)",ko00001,KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99999 Others,,,,,K15977,putative oxidoreductase,PF07681.16_or_PF12680.11,DoxX_or_SnoaL-like domain
GC_00008633,tree,shrub,accessory,12,1.82306529677622,3.26738075986893,1.03122023224015,3.16846068154723,0.0015324847607452,0.0443017354159416,,,,,,,,,,,,,,,PF04173.17,TQO small subunit DoxD
GC_00010286,tree,shrub,accessory,10,1.83646240670742,3.25249428566689,1.04494054535365,3.11261181330286,0.0018543975357958,0.0489614090224361,T,Signal transduction mechanisms,,,COG2114,"Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)",ko00001|ko00001|ko00001|ko01000,KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]|KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04113 Meiosis - yeast [PATH:ko04113]|KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]|Enzymes>>>4. Lyases>>>4.6  Phosphorus-oxygen lyases>>>4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date)>>>4.6.1.1  adenylate cyclase,,,,,K01768,adenylate cyclase [EC:4.6.1.1],PF00211.24,Adenylate and Guanylate cyclase catalytic domain
GC_00043520,tree,shrub,accessory,1,2.77497987230913,3.24427240752648,0.980275858265198,3.30955044967433,9.3445924040501e-4,0.0328523776386832,,,,,,,,,,,,,,,PF10604.13,Polyketide cyclase / dehydrase and lipid transport
GC_00014553,tree,shrub,accessory,4,10.8428413563317,3.07493761599877,0.905577345695936,3.39555492483712,6.84896307052616e-4,0.0276020317430912,X,"Mobilome: prophages, transposons",,,COG4644,"Transposase and inactivated derivatives, TnpA family",,,,,,,,,PF01526.21,Tn3 transposase DDE domain
GC_00006650,tree,shrub,accessory,12,2.46021730589396,3.06880528564883,0.990374820436303,3.09863015731446,0.00194417551019705,0.0499878392491788,,,,,,,,,,,,,,,PF11300.12,Protein of unknown function (DUF3102)
GC_00019083,tree,shrub,accessory,4,2.41559602741424,3.05903903901652,0.98007103941396,3.12124215081969,0.00180089881829622,0.0482156025929231,M,Cell wall/membrane/envelope biogenesis,,,COG0463,Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ),ko00001|ko01000|ko01003,KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00543 Exopolysaccharide biosynthesis [PATH:ko00543]|Enzymes>>>2. Transferases>>>2.4  Glycosyltransferases>>>2.4.->>>2.4.-.-|Glycosyltransferases>>>Polysaccharide>>>Bacterial polysaccharide (excluding LPS),,,,,K16698,teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-],PF10111.13_or_PF00535.30,Glycosyltransferase like family 2_or_Glycosyl transferase family 2
GC_00012264,tree,shrub,accessory,7,2.39308050941017,3.05440377490204,0.985426883208979,3.09957423219018,0.00193799007577961,0.0499878392491788,L,"Replication, recombination and repair",,,COG1555,DNA uptake protein ComE or related DNA-binding protein (ComEA) (PDB:2DUY),,,,,,,,,PF12836.11,Helix-hairpin-helix motif
GC_00030822,tree,shrub,accessory,2,3.4870788281205,3.01247430891014,0.961886822810264,3.13183862952696,0.00173715327171225,0.0475855536639894,G,Carbohydrate transport and metabolism,,,COG1129,"ABC-type sugar transport system, ATPase component (MglA)",ko00001|ko02000,"KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Transporters>>>ABC transporters, prokaryotic type>>>Saccharide, polyol, and lipid transporters>>>Rhamnose transporter",,,,,K10562_or_K10441,rhamnose transport system ATP-binding protein [EC:7.5.2.-]_or_ribose transport system ATP-binding protein [EC:7.5.2.7],PF00005.31,ABC transporter
GC_00005808,tree,shrub,accessory,21,26.6099938821269,3.00793288050874,0.589280625818173,5.10441502523936,3.31819331791852e-7,3.29970624086155e-4,G,Carbohydrate transport and metabolism,COG0364,Pentose phosphate pathway,COG0364,Glucose-6-phosphate 1-dehydrogenase (Zwf) (PDB:5B7W) (PUBMED:18950999),ko00001|ko00001|ko01000|ko01000|ko04147|ko04147|ko04147,KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00030 Pentose phosphate pathway [PATH:ko00030]|KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00480 Glutathione metabolism [PATH:ko00480]|Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.49  glucose-6-phosphate dehydrogenase (NADP+)|Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.363  glucose-6-phosphate dehydrogenase [NAD(P)+]|Exosome>>>Exosomal proteins>>>Exosomal proteins of breast cancer cells|Exosome>>>Exosomal proteins>>>Exosomal proteins of colorectal cancer cells|Exosome>>>Exosomal proteins>>>Exosomal proteins of bladder cancer cells,M00004|M00006|M00008,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism|Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,M00004|M00006|M00008,"Pentose phosphate pathway (Pentose phosphate cycle)|Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P|Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],PF02781.20,"Glucose-6-phosphate dehydrogenase, C-terminal domain"
GC_00060609,tree,shrub,accessory,1,10.0490305290492,2.96802064194394,0.816537119952051,3.63488758737415,2.78101870847846e-4,0.0159989018427426,X,"Mobilome: prophages, transposons",,,COG3547,Transposase,ko00001,KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair,,,,,K07486,transposase,PF01548.21,Transposase
GC_00010885,tree,shrub,accessory,9,14.2998238246547,2.93227036153543,0.673486283476697,4.35386797545207,1.33756279231802e-5,0.00202408143420124,C,Energy production and conversion,,,COG0437,Fe-S-cluster-containing dehydrogenase component (DMSO reductase) (HybA) (PDB:2VPW),ko00001|ko00001,KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]|KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00680 Methane metabolism [PATH:ko00680],,,,,K00124,formate dehydrogenase iron-sulfur subunit,PF13247.10,4Fe-4S dicluster domain
GC_00006003,tree,shrub,accessory,20,10.6018220247553,2.8852504027363,0.704835519685916,4.09350880049577,4.24893941969605e-5,0.00448134353037943,E,Amino acid transport and metabolism,,,COG2987,Urocanate hydratase (HutU) (PDB:1UWK),ko00001|ko01000,KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00340 Histidine metabolism [PATH:ko00340]|Enzymes>>>4. Lyases>>>4.2  Carbon-oxygen lyases>>>4.2.1  Hydro-lyases>>>4.2.1.49  urocanate hydratase,M00045,Pathway modules; Amino acid metabolism; Histidine metabolism,M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",K01712,urocanate hydratase [EC:4.2.1.49],PF17392.6,Urocanase C-terminal domain
GC_00066612,tree,shrub,accessory,1,4.18528136864954,2.84631728062027,0.918659051503764,3.09833912370547,0.0019460859699077,0.0499878392491788,,,,,,,,,,,,,,,PF03864.19,Phage major capsid protein E
GC_00009605,tree,shrub,accessory,10,10.0436064062563,2.79685353788111,0.726926783363756,3.84750376776468,1.1932744267171e-4,0.00912789371909638,K,Transcription,,,COG0583,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)",,,,,,,,,PF03466.24_or_PF00126.31,"LysR substrate binding domain_or_Bacterial regulatory helix-turn-helix protein, lysR family"
GC_00008803,tree,shrub,accessory,7,7.80435342940437,2.76134785875022,0.573117031249022,4.81812214292825,1.44915652254762e-6,5.04378927672699e-4,X|X_or_X,"Mobilome: prophages, transposons|Mobilome: prophages, transposons_or_Mobilome: prophages, transposons",,,COG2801|COG2963_or_COG2801,Transposase InsO and inactivated derivatives (Tra5)|Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)_or_Transposase InsO and inactivated derivatives (Tra5),ko00001,KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair,,,,,K07497,putative transposase,PF00665.30_or_PF13683.10,Integrase core domain
GC_00009321,tree,shrub,accessory,11,4.63630899104766,2.67566280417874,0.725970043664944,3.68563803359031,2.28130395540974e-4,0.0138261514337229,G,Carbohydrate transport and metabolism,,,COG2814,"Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)",ko02000,Transporters>>>Major facilitator superfamily (MFS)>>>Drug transporters>>>Drug:H+ antiporter-2 (14 spanner) (DHA2) family [TC:2.A.1.3],,,,,K03446,"MFS transporter, DHA2 family, multidrug resistance protein",PF07690.20,Major Facilitator Superfamily
GC_00011233,tree,shrub,accessory,8,4.27471414694681,2.56043169095841,0.694252535510452,3.68804082087484,2.25987401562627e-4,0.0138261514337229,M|R,Cell wall/membrane/envelope biogenesis|General function prediction only,COG4948,Non-phosphorylated Entner-Doudoroff pathway,COG4948,L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH),ko00001|ko01000,KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00053 Ascorbate and aldarate metabolism [PATH:ko00053]|Enzymes>>>5. Isomerases>>>5.5  Intramolecular lyases>>>5.5.1  Intramolecular lyases (only sub-subclass identified to date)>>>5.5.1.27  D-galactarolactone cycloisomerase,,,,,K18983,D-galactarolactone cycloisomerase [EC:5.5.1.27],PF13378.10,Enolase C-terminal domain-like
GC_00014875,tree,shrub,accessory,5,68.1330285340906,2.49550394664294,0.50285672747978,4.96265399321576,6.95363944323147e-7,4.03793194094185e-4,C|P,Energy production and conversion|Inorganic ion transport and metabolism,,,COG2041|COG4117,Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)|Thiosulfate reductase cytochrome b subunit (YdhU),ko00001|ko01000,KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers|Enzymes>>>1. Oxidoreductases>>>1.8  Acting on a sulfur group of donors>>>1.8.->>>1.8.-.-,,,,,K07147,methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-],PF01292.24_or_PF00174.23,Prokaryotic cytochrome b561_or_Oxidoreductase molybdopterin binding domain
GC_00010387,tree,shrub,accessory,9,3.77308972448448,2.38259832807427,0.718895670185294,3.31424770921233,9.18900623975611e-4,0.0324693768705291,T,Signal transduction mechanisms,,,COG2200,"EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)",,,,,,,,,PF00563.24,EAL domain
GC_00002945,tree,shrub,accessory,30,5.1718733167234,2.34582129711222,0.736615220325528,3.18459520300917,0.00144956621026176,0.0433065681958459,X,"Mobilome: prophages, transposons",,,COG2826,"Transposase and inactivated derivatives, IS30 family (Tra8)",ko00001,KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair,,,,,K07497,putative transposase,PF01527.24,Transposase
GC_00010542,tree,shrub,accessory,4,4.35086369416859,2.34535190925368,0.67392609299107,3.48013221871906,5.01166386290446e-4,0.0235717514524851,M,Cell wall/membrane/envelope biogenesis,,,COG2148,"Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)",ko00001|ko00001,KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00543 Exopolysaccharide biosynthesis [PATH:ko00543]|KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025],,,,,K16566,exopolysaccharide production protein ExoY,PF02397.20,Bacterial sugar transferase
GC_00011232,tree,shrub,accessory,6,4.11650406291603,2.24852941418948,0.649693222629077,3.46090945060267,5.3835385893019e-4,0.0243323250290842,,,,,,,,,,,,,,,PF08447.16,PAS fold
GC_00000894,tree,shrub,core,104,55.5887820999032,2.16083799865658,0.42993817326522,5.02592729146571,5.01005695644589e-7,3.87500071931332e-4,F,Nucleotide transport and metabolism,COG0152,Purine biosynthesis,COG0152,Phosphoribosylaminoimidazole-succinocarboxamide synthase (PurC) (PDB:1A48),ko00001|ko01000,KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]|Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.2  Acid-D-amino-acid ligases (peptide synthases)>>>6.3.2.6  phosphoribosylaminoimidazolesuccinocarboxamide synthase,M00048,Pathway modules; Nucleotide metabolism; Purine metabolism,M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP",K01923,phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],PF01259.22,SAICAR synthetase
GC_00005824,tree,shrub,accessory,21,3.95207319111986,2.15869406779076,0.690757884440236,3.12510955924895,0.00177738847892951,0.0479550434179392,,,,,,,,,,,,,,,PF07238.18,PilZ domain
GC_00001631,tree,shrub,core,103,67.6177651502777,2.15164473370331,0.382022880690661,5.63224048207096,1.7788340264387e-8,3.09561591450995e-5,C,Energy production and conversion,COG0056,FoF1-type ATP synthase,COG0056,"FoF1-type ATP synthase, alpha subunit (AtpA) (PDB:3OAA)",ko00001|ko00001|ko01000|ko01000|ko00194,KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]|KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]|Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.2  Linked to the hydrolysis of a nucleoside triphosphate>>>7.1.2.2  H+-transporting two-sector ATPase|Enzymes>>>7. Translocases>>>7.2  Catalysing the translocation of inorganic cations>>>7.2.2  Linked to the hydrolysis of a nucleoside triphosphate>>>7.2.2.1  Na+-transporting two-sector ATPase|Photosynthesis proteins>>>Photosystem and electron transport system>>>F-type ATPase [OT],M00157,Pathway modules; Energy metabolism; ATP synthesis,M00157,"F-type ATPase, prokaryotes and chloroplasts",K02111_or_K02132,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]_or_F-type H+-transporting ATPase subunit alpha,PF00006.29,"ATP synthase alpha/beta family, nucleotide-binding domain"
GC_00028927,tree,shrub,accessory,1,18.7140006333305,2.14177242375741,0.684266327639891,3.1300275013453,0.00174789938522189,0.0475855536639894,E,Amino acid transport and metabolism,COG1171,"Isoleucine, leucine, valine biosynthesis",COG1171,Threonine deaminase (IlvA) (PDB:3IAU),,,,,,,,,PF03050.18,Transposase IS66 family
