gene_cluster_id;focal;reference;comp;type;genome_occurences;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;KEGG_BRITE_ACC;KEGG_BRITE;split_level_1;split_level_2;split_level_3;split_level_4;split_level_5;split_level_6;KEGG_category;KOfam_function;KEGG_Class_ACC;KEGG_Class;KEGG_Module_ACC;KEGG_Module;KOfam_ACC;KOfam;COG20_CATEGORY_ACC;COG20_CATEGORY;COG20_PATHWAY_ACC;COG20_PATHWAY;COG20_FUNCTION_ACC;COG20_FUNCTION;Pfam_ACC;Pfam
GC_00004092;broadleaf;conifer;broadleaf_vs_conifer;accessory;37;2.36910555030137;1.97632403549196;0.577612471455183;3.42153975746575;6.2267620403425e-4;0.0177307049098753;ko03021;Transcription machinery>>>Prokaryotic type>>>Bacterial type>>>Other transcription-related factors>>>RNA polymerase-associated proteins;NA;Transcription machinery;Prokaryotic type;Bacterial type;Other transcription-related factors;RNA polymerase-associated proteins;Genetic Information Processing > Transcription > RNA polymerase [PATH:ko03020];sulfate permease, SulP family;NA;NA;NA;NA;K03321;sulfate permease, SulP family;P;Inorganic ion transport and metabolism;NA;NA;COG0659;Sulfate permease or related transporter, MFS superfamily (SUL1) (PDB:3NY7);PF00916.24;Sulfate permease family
GC_00004218;shrub;conifer;shrub_vs_conifer;accessory;29;6.05664322553953;1.19508374753473;0.390624367745762;3.05941934557588;0.00221766492063149;0.0328331020137254;ko01000|ko03021;Transcription machinery>>>Prokaryotic type>>>Bacterial type>>>Other transcription-related factors>>>RNA polymerase-associated proteins;NA;Transcription machinery;Prokaryotic type;Bacterial type;Other transcription-related factors;RNA polymerase-associated proteins;Genetic Information Processing > Transcription > RNA polymerase [PATH:ko03020];phosphoserine phosphatase RsbX [EC:3.1.3.3];NA;NA;NA;NA;K05518;phosphoserine phosphatase RsbX [EC:3.1.3.3];T;Signal transduction mechanisms;NA;NA;COG2172;Anti-sigma regulatory factor (Ser/Thr protein kinase) (RsbW) (PDB:1TIL);PF13581.10;Histidine kinase-like ATPase domain
GC_00004214;shrub;conifer;shrub_vs_conifer;accessory;29;8.1395316035195;0.932766224661095;0.308307952983968;3.02543679341804;0.00248274291106043;0.0351822836908808;ko01000|ko01001|ko03021;Transcription machinery>>>Prokaryotic type>>>Bacterial type>>>Other transcription-related factors>>>RNA polymerase-associated proteins;NA;Transcription machinery;Prokaryotic type;Bacterial type;Other transcription-related factors;RNA polymerase-associated proteins;Genetic Information Processing > Transcription > RNA polymerase [PATH:ko03020];serine/threonine-protein kinase RsbT [EC:2.7.11.1];NA;NA;NA;NA;K17752;serine/threonine-protein kinase RsbT [EC:2.7.11.1];T;Signal transduction mechanisms;NA;NA;COG2172;Anti-sigma regulatory factor (Ser/Thr protein kinase) (RsbW) (PDB:1TIL);PF02518.30;Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
GC_00000286;conifer;broadleaf;conifer_vs_broadleaf;core;104;12.3876494815851;0.741882970019708;0.20959575970174;3.53958959415698;4.00749714625234e-4;0.0139828345689975;ko03021;Transcription machinery>>>Prokaryotic type>>>Bacterial type>>>RNA polymerase>>>Sigma factors;NA;Transcription machinery;Prokaryotic type;Bacterial type;RNA polymerase;Sigma factors;Genetic Information Processing > Transcription > RNA polymerase [PATH:ko03020];RNA polymerase sigma-32 factor;NA;NA;NA;NA;K03089;RNA polymerase sigma-32 factor;K;Transcription;COG0568;RNA polymerase;COG0568;DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32) (RpoD) (PDB:1SIG);PF04542.18;Sigma-70 region 2
GC_00033575;conifer;shrub;conifer_vs_shrub;accessory;2;1.80280188266078;3.41077951077305;1.12574674913102;3.02979290271625;0.00244721481416759;0.0349835593997174;ko03021;Transcription machinery>>>Prokaryotic type>>>Bacterial type>>>RNA polymerase>>>Sigma factors;NA;Transcription machinery;Prokaryotic type;Bacterial type;RNA polymerase;Sigma factors;Genetic Information Processing > Transcription > RNA polymerase [PATH:ko03020];RNA polymerase sigma-19 factor, ECF subfamily;NA;NA;NA;NA;K23514;RNA polymerase sigma-19 factor, ECF subfamily;K;Transcription;COG1595;RNA polymerase;COG1595;DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z);PF08281.16;Sigma-70, region 4
GC_00004344;conifer;shrub;conifer_vs_shrub;accessory;29;3.13463013485573;2.3709270558928;0.756242391235751;3.13514169976448;0.00171771118683072;0.0280254964054649;ko03021;Transcription machinery>>>Prokaryotic type>>>Bacterial type>>>RNA polymerase>>>Sigma factors;NA;Transcription machinery;Prokaryotic type;Bacterial type;RNA polymerase;Sigma factors;Genetic Information Processing > Transcription > RNA polymerase [PATH:ko03020];RNA polymerase sigma-70 factor, ECF subfamily;NA;NA;NA;NA;K03088;RNA polymerase sigma-70 factor, ECF subfamily;K;Transcription;COG1595;RNA polymerase;COG1595;DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z);PF08281.16;Sigma-70, region 4
GC_00001586;tree;shrub;tree_vs_shrub;core;103;35.4389759537217;1.83452689320111;0.401074464350289;4.57403065082419;4.78429802609137e-6;0.00100919692604915;ko00001|ko00001|ko02022;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Cell cycle [PATH:ko04112];Cellular Processes > Cell growth and death > Cell cycle [PATH:ko04112];two-component system, cell cycle response regulator CpdR;NA;NA;NA;NA;K13589;two-component system, cell cycle response regulator CpdR;T;Signal transduction mechanisms;NA;NA;COG2204;DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2);PF00072.28;Response regulator receiver domain
GC_00000893;tree;shrub;tree_vs_shrub;core;104;46.2613999650017;1.77184310816168;0.358173463354683;4.9468854882951;7.54103077607298e-7;4.03793194094185e-4;ko00001|ko03110;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Cell cycle [PATH:ko04112];Cellular Processes > Cell growth and death > Cell cycle [PATH:ko04112];ATP-dependent Clp protease ATP-binding subunit ClpX;NA;NA;NA;NA;K03544;ATP-dependent Clp protease ATP-binding subunit ClpX;O;Posttranslational modification, protein turnover, chaperones;NA;NA;COG1219;ATP-dependent protease Clp, ATPase subunit ClpX (ClpX) (PDB:3HTE);PF07724.18;AAA domain (Cdc48 subfamily)
GC_00000061;tree;shrub;tree_vs_shrub;core;104;102.685778647161;1.46460691234227;0.359812130287903;4.0704767545507;4.69170227133242e-5;0.00480278522216837;ko00001|ko00001|ko02022;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Cell cycle [PATH:ko04112];Cellular Processes > Cell growth and death > Cell cycle [PATH:ko04112];two-component system, cell cycle response regulator CtrA;NA;NA;NA;NA;K13584;two-component system, cell cycle response regulator CtrA;T|K;Signal transduction mechanisms|Transcription;NA;NA;COG0745;DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF);PF00072.28;Response regulator receiver domain
GC_00004403;conifer;broadleaf;conifer_vs_broadleaf;accessory;24;1.59849480741678;2.86688680526446;0.858976356442747;3.33756195238832;8.45168779855007e-4;0.021164175684943;ko00001|ko00001|ko01000|ko01001|ko02022_or_ko01001|ko02022;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Cell cycle [PATH:ko04112];Cellular Processes > Cell growth and death > Cell cycle [PATH:ko04112];two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]_or_two-component system, cell cycle response regulator CpdR;NA;NA;NA;NA;K13587_or_K13589;two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]_or_two-component system, cell cycle response regulator CpdR;T;Signal transduction mechanisms;NA;NA;COG0642|COG0784|COG2202;Signal transduction histidine kinase (BaeS) (PDB:1JOY)|CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)|PAS domain (PAS) (PDB:2MWG);PF13426.11_or_PF00072.28;PAS domain_or_Response regulator receiver domain
GC_00008260;conifer;broadleaf;conifer_vs_broadleaf;accessory;14;2.79238388706667;1.6455445526;0.50827966298716;3.23747864104799;0.00120590966267742;0.025087326133143;ko00001;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Cell cycle [PATH:ko04112];Cellular Processes > Cell growth and death > Cell cycle [PATH:ko04112];aspartyl protease family protein;NA;NA;NA;NA;K06985;aspartyl protease family protein;R;General function prediction only;NA;NA;COG3577;Predicted aspartyl protease (PDB:5C9F);PF13975.10;gag-polyprotein putative aspartyl protease
GC_00000636;conifer;broadleaf;conifer_vs_broadleaf;core;104;12.1721816571062;0.595648250004982;0.206304217783535;2.88723253651541;0.00388646879065348;0.0487789306066591;ko00001|ko01000|ko01002;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Cell cycle [PATH:ko04112];Cellular Processes > Cell growth and death > Cell cycle [PATH:ko04112];ATP-dependent Lon protease [EC:3.4.21.53];NA;NA;NA;NA;K01338;ATP-dependent Lon protease [EC:3.4.21.53];O;Posttranslational modification, protein turnover, chaperones;NA;NA;COG0466;ATP-dependent Lon protease, bacterial type (Lon) (PDB:6ON2);PF05362.17;Lon protease (S16) C-terminal proteolytic domain
GC_00009993;broadleaf;conifer;broadleaf_vs_conifer;accessory;10;2.73817124116138;2.02412798615514;0.540540793801137;3.74463501990528;1.8065620399542e-4;0.00892275226354846;ko00001|ko02044|ko02035;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Cell cycle [PATH:ko04112];Cellular Processes > Cell growth and death > Cell cycle [PATH:ko04112];pilus assembly protein Flp/PilA;NA;NA;NA;NA;K02651;pilus assembly protein Flp/PilA;U|W;Intracellular trafficking, secretion, and vesicular transport|Extracellular structures;NA;NA;COG3847;Flp pilus assembly protein, pilin Flp (Flp);PF04964.18;Flp/Fap pilin component
GC_00001484;broadleaf;conifer;broadleaf_vs_conifer;core;104;7.79991312385016;0.773230094271081;0.262361135733215;2.94719754170202;0.00320668280718306;0.0436108861776897;ko00001;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Cell cycle [PATH:ko04112];Cellular Processes > Cell growth and death > Cell cycle [PATH:ko04112];regulator of CtrA degradation;NA;NA;NA;NA;K13592;regulator of CtrA degradation;S;Function unknown;NA;NA;COG5317;Uncharacterized conserved protein, DUF1465 domain (PDB:3CTW);PF07323.16;Protein of unknown function (DUF1465)
GC_00010286;tree;shrub;tree_vs_shrub;accessory;10;1.83646240670742;3.25249428566689;1.04494054535365;3.11261181330286;0.0018543975357958;0.0489614090224361;ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04113 Meiosis - yeast [PATH:ko04113];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Meiosis - yeast [PATH:ko04113];Cellular Processes > Cell growth and death > Meiosis - yeast [PATH:ko04113];adenylate cyclase [EC:4.6.1.1];NA;NA;NA;NA;K01768;adenylate cyclase [EC:4.6.1.1];T;Signal transduction mechanisms;NA;NA;COG2114;Adenylate cyclase, class 3 (AcyC) (PDB:1AB8);PF00211.24;Adenylate and Guanylate cyclase catalytic domain
GC_00001017;tree;shrub;tree_vs_shrub;core;104;47.177108229347;2.0380097692775;0.420271744256173;4.84926668787719;1.23918726217635e-6;4.80795906573642e-4;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000|ko04147;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04217 Necroptosis [PATH:ko04217];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Necroptosis [PATH:ko04217];Cellular Processes > Cell growth and death > Necroptosis [PATH:ko04217];glutamine synthetase [EC:6.3.1.2];NA;NA;NA;NA;K01915;glutamine synthetase [EC:6.3.1.2];E;Amino acid transport and metabolism;COG0174;Glutamine biosynthesis;COG0174;Glutamine synthetase (GlnA) (PDB:1F1H);PF00120.28;Glutamine synthetase, catalytic domain
GC_00000343;tree;shrub;tree_vs_shrub;core;104;21.4583441406639;1.50743169080811;0.392998279969566;3.83572083553356;1.25196552872844e-4;0.00929466370514702;ko00001|ko00001|ko00001|ko00001|ko00001|ko00001|ko01000|ko04147;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04217 Necroptosis [PATH:ko04217];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell growth and death;Necroptosis [PATH:ko04217];Cellular Processes > Cell growth and death > Necroptosis [PATH:ko04217];glutamine synthetase [EC:6.3.1.2];NA;NA;NA;NA;K01915;glutamine synthetase [EC:6.3.1.2];E;Amino acid transport and metabolism;COG0174;Glutamine biosynthesis;COG0174;Glutamine synthetase (GlnA) (PDB:1F1H);PF00120.28;Glutamine synthetase, catalytic domain
GC_00027862;broadleaf;conifer;broadleaf_vs_conifer;accessory;2;1.81908108991185;2.5345031483445;0.72403411219547;3.50053002428185;4.64333929603113e-4;0.015056977816881;ko00001|ko02035;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell motility;Bacterial chemotaxis [PATH:ko02030];Cellular Processes > Cell motility > Bacterial chemotaxis [PATH:ko02030];chemotaxis protein CheZ;NA;NA;NA;NA;K03414;chemotaxis protein CheZ;N|T;Cell motility|Signal transduction mechanisms;NA;NA;COG3143;Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P (CheZ) (PDB:1KMI);NA;NA
GC_00002035;broadleaf;conifer;broadleaf_vs_conifer;accessory;75;5.54351766517626;2.09771966593174;0.383170572726198;5.47463666378864;4.3841019056942e-8;4.9934920705857e-5;ko00001|ko00001|ko02035;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell motility;Bacterial chemotaxis [PATH:ko02030];Cellular Processes > Cell motility > Bacterial chemotaxis [PATH:ko02030];methyl-accepting chemotaxis protein;NA;NA;NA;NA;K03406;methyl-accepting chemotaxis protein;T;Signal transduction mechanisms;NA;NA;COG0840;Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7);PF00015.25;Methyl-accepting chemotaxis protein (MCP) signalling domain
GC_00004758;broadleaf;conifer;broadleaf_vs_conifer;accessory;22;3.82872542704537;1.78485938344417;0.447731350329324;3.98645165707367;6.70687852890796e-5;0.00560670432618434;ko00001|ko00001|ko01000|ko02035;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell motility;Bacterial chemotaxis [PATH:ko02030];Cellular Processes > Cell motility > Bacterial chemotaxis [PATH:ko02030];two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61];NA;NA;NA;NA;K13924;two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61];D|T;Cell cycle control, cell division, chromosome partitioning|Signal transduction mechanisms;NA;NA;COG1196|COG1352|COG2201|COG3920;Chromosome segregation ATPase Smc (Smc) (PDB:5XG3)|Methylase of chemotaxis methyl-accepting proteins (CheR) (PDB:1AF7)|Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains (CheB) (PDB:1A2O)|Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39);PF01739.22;CheR methyltransferase, SAM binding domain
GC_00002706;broadleaf-tree;conifer_and_shrub;broadleaf-tree_vs_conifer_and_shrub;accessory;47;16.0826261704576;0.720749923152422;0.224368578319297;3.2123478632856;0.00131654857158496;0.0494256692821456;ko00001|ko00001|ko02035;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell motility;Bacterial chemotaxis [PATH:ko02030];Cellular Processes > Cell motility > Bacterial chemotaxis [PATH:ko02030];methyl-accepting chemotaxis protein;NA;NA;NA;NA;K03406;methyl-accepting chemotaxis protein;T;Signal transduction mechanisms;NA;NA;COG0840;Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7);PF00015.25;Methyl-accepting chemotaxis protein (MCP) signalling domain
GC_00004447;conifer;shrub;conifer_vs_shrub;accessory;30;0.968877291992103;3.28877138993368;1.15412405656395;2.84958221885175;0.00437766895453933;0.0473678691943407;ko00001|ko02035;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell motility;Bacterial chemotaxis [PATH:ko02030];Cellular Processes > Cell motility > Bacterial chemotaxis [PATH:ko02030];chemotaxis protein CheC;NA;NA;NA;NA;K03410;chemotaxis protein CheC;T;Signal transduction mechanisms;NA;NA;COG1776;Phosphoaspartate phosphatase CheC, specific for CheY-P (CheC) (PDB:2F9Z);PF13690.10;Chemotaxis phosphatase CheX
GC_00004303;conifer;shrub;conifer_vs_shrub;accessory;27;2.38739209435269;2.82796777108305;0.956699281467818;2.955963097144;0.00311694382030094;0.0388623528194824;ko00001|ko00001|ko02035;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell motility;Bacterial chemotaxis [PATH:ko02030];Cellular Processes > Cell motility > Bacterial chemotaxis [PATH:ko02030];methyl-accepting chemotaxis protein;NA;NA;NA;NA;K03406;methyl-accepting chemotaxis protein;C_or_T;Energy production and conversion_or_Signal transduction mechanisms;NA;NA;COG1017_or_COG0840;Hemoglobin-like flavoprotein (Hmp) (PDB:3OZU)_or_Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7);PF00042.26_or_PF00015.25;Globin_or_Methyl-accepting chemotaxis protein (MCP) signalling domain
GC_00016672;conifer;shrub;conifer_vs_shrub;accessory;4;2.5433403107054;2.42257022727835;0.848730655706272;2.85434514588424;0.00431256504195406;0.0473479570041342;ko00001|ko00001|ko02035;KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030];NA;NA;KEGG Orthology (KO);Cellular Processes;Cell motility;Bacterial chemotaxis [PATH:ko02030];Cellular Processes > Cell motility > Bacterial chemotaxis [PATH:ko02030];methyl-accepting chemotaxis protein;NA;NA;NA;NA;K03406;methyl-accepting chemotaxis protein;T;Signal transduction mechanisms;NA;NA;COG0840;Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7);PF00015.25;Methyl-accepting chemotaxis protein (MCP) signalling domain
